From agency,To agency,Relationship type,Description,Status
BCHydro,NRCanGSC,data,,
BCHydro,NRCanGSC,tools/products,sharing models,
NRCanGSC,BCHydro,data,,
NRCanGSC,BCHydro,tools/products,sharing models,
CRESCENT,BCHydro,data,,
USGS,BCHydro,data,,
PNSN,BCHydro,data,,
BCEM,BCHydro,emergency response coordination,,
BCAlert,BCHydro,emergency response coordination,,
PGE,BCHydro,info/research,,
BCHydro,PG&E,info/research,,
USBR,BCHydro,info/research,,
BCHydro,USBR,info/research,,
JPL,PG&E,data,remote sensing,
JPL,PG&E,emergency response coordination,rapid response,
PEER,PG&E,info/research,"providing guidance and support, taking research outcomes",
NHERI,PG&E,info/research,"providing guidance and support, taking research outcomes",
CRESCENT,PG&E,info/research,"providing guidance and support, taking research outcomes",
SCEC,PG&E,info/research,"providing guidance and support, taking research outcomes",
EERI,PG&E,info/research,"providing guidance and support, taking research outcomes",
PG&E,PEER,info/research,"providing guidance and support, taking research outcomes",
PG&E,NHERI,info/research,"providing guidance and support, taking research outcomes",
PG&E,EERI,info/research,"providing guidance and support, taking research outcomes",
PG&E,CRESCENT,funding,,
PG&E,CRESCENT,info/research,"providing guidance and support, taking research outcomes",
PG&E,SCEC,info/research,"providing guidance and support, taking research outcomes",
PG&E,CalTrans,info/research,coordinating research and practice,
CalTrans,PG&E,info/research,coordinating research and practice,
PG&E,BCHydro,info/research,coordinating research and practice,
BCHydro,PG&E,info/research,coordinating research and practice,
PG&E,USACE,info/research,coordinating research and practice,
USACE,PG&E,info/research,coordinating research and practice,
NOAA,PG&E,tools/products,forecast products,
CalOES,PG&E,emergency response coordination,,
FEMA,PG&E,emergency response coordination,,
USGS,PG&E,emergency response coordination,ShakeAlert,
PG&E,CGS,info/research,review and response,
CGS,PG&E,info/research,review and response,
PG&E,USBR,info/research,coordinating research and practice,
USBR,PG&E,info/research,coordinating research and practice,
CalFire,PG&E,emergency response coordination,,
PG&E,CalFire,emergency response coordination,,
PG&E,CalOES,emergency response coordination,,
PG&E,FEMA,emergency response coordination,,
PG&E,USGS,emergency response coordination,,
CalFire,CGS,emergency response coordination,data,
CalOES,CGS,emergency response coordination,data,
